Privada-Instituto Superior Frederic Chopin-Educación-Prof. en Educación Musical,4.0
Privada-Instituto Superior Frederic Chopin-Educación-Prof. en Danzas Folcklóricas.,5.0
Privada-Instituto Superior Frederic Chopin-Educación-Prof. en Expresión Corporal,5.0
Privada-Instituto Superior de Imágenes Médicas-Salud-Técn. Sup. en Salud con Especialidad en Radiología,3.0
Privada-Instituto Superior de Imágenes Médicas-Salud-Técn. Sup. en Salud Especialidad Laboratorio de Análisis Clínicos,3.0
Privada-Instituto Superior de Imágenes Médicas-Salud-Técn. Sup. en Salud con Especialidad en Farmacia Hospitalitaria,3.0
Privada-Instituto Superior de Arte y Creatividad-Artes-Prof. de Artes Visuales,5.0
Privada-Instituto Superior de Arte y Creatividad-Artes-Prof. de Teatro,5.0
Privada-Instituto Superior de Arte y Creatividad-Diseño-Tecnicatura en Diseño Gráfico,3.0
Privada-Instituto Superior de Arte y Creatividad-Diseño-Tecnicatura en Diseño y prod. de indumentaria,3.0
Privada-Instituto Superior de Arte y Creatividad-Diseño-Tecn. de realizador de artes Visuales,4.0
Privada-Instituto Superior de Arte y Creatividad-Sociales-Tramo de formación pedagógica,2.0
Privada-Instituto Gastronómico Gato Dumas-Gastronomía-Tecnicatura en Gastronomía,2.5
Privada-Instituto Gastronómico Gato Dumas-Gastronomía-Profesional en Gastronomía,2.0
Privada-Instituto Gastronómico Gato Dumas-Gastronomía-Lic. en Gastronomía,4.0
Privada-Instituto Gastronómico Gato Dumas-Gastronomía-Profesional en Pastelería,1.0
Privada-Instituto Gastronómico Gato Dumas-Gastronomía-Sommelier Profesional,2.0
Privada-Instituto Gastronómico Gato Dumas-Gastronomía-Gerenciamiento Gastronómico,1.0
Privada-Instituto Gastronómico Gato Dumas-Gastronomía-Crítico Gastronómico,1.0
Privada-Instituto Gastronómico Gato Dumas-Gastronomía-Organizador de Eventos,1.0
Privada-Instituto Superior del Bicentenario-Salud-Seguridad e Higiene,3.0
Privada-Instituto Superior del Bicentenario-Sociales-Gestoría,3.0
Privada-Instituto Superior del Bicentenario-Sociales-Publicidad,3.0
Privada-Instituto Superior del Bicentenario-Sociales-Logística,3.0
Privada-Instituto Superior del Bicentenario-Sociales-Recursos Humanos,3.0
Privada-Holos-Sociales-Counseling,3.0
Pública-CBC UBA-Derecho -Abogacía,1.0
Pública-CBC UBA-Farmacia y Bioquímica-Bioquimica,1.0
Pública-CBC UBA-Exactas-ciencias biologicas,1.0
Pública-CBC UBA-Farmacia y Bioquímica-Farmacia,1.0
Pública-CBC UBA-Salud -Fonoaudiologia,1.0
Pública-CBC UBA-Salud -Kinesiologia,1.0
Pública-CBC UBA-Salud -Medicina,1.0
Pública-CBC UBA-Salud -Nutricion,1.0
Pública-CBC UBA-Salud -Odontologia,1.0
Pública-CBC UBA-Veterinaria -Veterinaria  ,1.0
Pública-CBC UBA-Salud -Obstetricia,1.0
Pública-CBC UBA-Salud -Enfermeria Universitaria,1.0
Pública-CBC UBA-Salud -Técnico en podologia,1.0
Pública-CBC UBA-Agronomía -Técnico en turismo rural,1.0
Pública-CBC UBA-Farmacia y Bioquímica-Técnico para bioterios,1.0
Pública-CBC UBA-Agronomía -Floricultura,1.0
Pública-CBC UBA-Agronomía -Jardineria,1.0
Pública-CBC UBA-Artes -Edición,1.0
Pública-CBC UBA-Agronomía -Tec. En prod. de vegetales organicos,1.0
Pública-CBC UBA-Agronomía -Ciencias Ambientales,1.0

